number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,244.7854711599495,2025-11-15 16:07:12.023068,2025-11-15 16:15:30.765974,0 days 00:08:18.742906,17,22,0.0009465382755080682,9,459,0.7475580032957857,COMPLETE
1,314.03193556209806,2025-11-15 16:15:30.794468,2025-11-15 16:17:52.220132,0 days 00:02:21.425664,23,6,0.040459569051192634,7,795,0.4882506813787213,COMPLETE
2,287.2719818695208,2025-11-15 16:17:52.232333,2025-11-15 16:18:39.922623,0 days 00:00:47.690290,26,27,0.4202790558357006,6,148,0.8913467781895984,COMPLETE
3,248.33364204966398,2025-11-15 16:18:39.962878,2025-11-15 16:22:07.358915,0 days 00:03:27.396037,26,22,5.01887883688775e-05,9,184,0.733191977858679,COMPLETE
4,248.33124061025788,2025-11-15 16:22:07.393836,2025-11-15 16:22:26.549371,0 days 00:00:19.155535,23,20,2.1025102533338742e-05,6,78,0.8354544940356236,COMPLETE
5,247.2179808805829,2025-11-15 16:22:26.610024,2025-11-15 16:22:29.116069,0 days 00:00:02.506045,22,3,0.004213654045358619,1,55,0.5364360106444677,COMPLETE
6,247.86127336856643,2025-11-15 16:22:29.204450,2025-11-15 16:22:32.806733,0 days 00:00:03.602283,17,28,0.0018348986100183574,1,27,0.11949294685137052,COMPLETE
7,266.9196797895494,2025-11-15 16:22:32.888126,2025-11-15 16:22:34.433610,0 days 00:00:01.545484,21,3,0.1872869741793788,2,7,0.13328080835360426,COMPLETE
8,245.55055013336596,2025-11-15 16:22:34.516872,2025-11-15 16:22:38.478229,0 days 00:00:03.961357,23,20,0.011604777558592514,5,18,0.3323056432250604,COMPLETE
9,241.95061525212387,2025-11-15 16:22:38.511353,2025-11-15 16:22:44.035440,0 days 00:00:05.524087,1,27,0.006179397113923758,2,72,0.5022883237628776,COMPLETE
10,248.22723337765296,2025-11-15 16:22:44.106981,2025-11-15 16:23:04.229010,0 days 00:00:20.122029,1,11,0.0002881792074898866,12,6,0.37239193486875155,COMPLETE
11,242.75857879329516,2025-11-15 16:23:04.258834,2025-11-15 16:39:53.764712,0 days 00:16:49.505878,8,24,0.0006820664868477035,10,814,0.684993491346056,COMPLETE
12,247.91519418170077,2025-11-15 16:39:53.786810,2025-11-15 16:40:29.769167,0 days 00:00:35.982357,4,30,0.00022987123616514284,3,424,0.6889441259012951,COMPLETE
13,231.53997207038705,2025-11-15 16:40:29.815274,2025-11-15 16:52:05.372704,0 days 00:11:35.557430,8,15,0.01945086537605766,12,191,0.9979974379096853,COMPLETE
14,255.60136173242876,2025-11-15 16:52:05.386938,2025-11-15 16:52:17.958883,0 days 00:00:12.571945,9,13,0.03391534071823819,4,157,0.9597377124886648,COMPLETE
15,228.46806659038958,2025-11-15 16:52:18.040805,2025-11-15 16:56:30.630641,0 days 00:04:12.589836,11,17,0.0646587578146626,12,60,0.3612494100195718,COMPLETE
16,233.8752709970632,2025-11-15 16:56:30.683944,2025-11-15 16:58:26.232465,0 days 00:01:55.548521,12,15,0.09639858440572201,12,31,0.2581067880651498,COMPLETE
17,277.31987014910544,2025-11-15 16:58:26.310705,2025-11-15 17:03:54.116849,0 days 00:05:27.806144,13,10,0.8703326287886414,11,279,0.40405177064291853,COMPLETE
18,244.25327649838036,2025-11-15 17:03:54.205685,2025-11-15 17:04:41.165154,0 days 00:00:46.959469,6,17,0.029629047992384448,8,101,0.6169891763718023,COMPLETE
19,236.84188456598395,2025-11-15 17:04:41.316076,2025-11-15 17:04:55.544639,0 days 00:00:14.228563,12,17,0.1430686272250275,10,16,0.25303434457733776,COMPLETE
20,240.38909822104475,2025-11-15 17:04:55.556975,2025-11-15 17:06:30.109290,0 days 00:01:34.552315,9,10,0.019301591499325955,12,43,0.9602214024182621,COMPLETE
21,241.02619553075243,2025-11-15 17:06:30.121442,2025-11-15 17:08:04.840416,0 days 00:01:34.718974,13,14,0.08342194454138023,12,30,0.23646710591486617,COMPLETE
22,237.72609118277416,2025-11-15 17:08:04.854035,2025-11-15 17:08:25.961948,0 days 00:00:21.107913,11,17,0.07721723554100055,11,12,0.253370979113256,COMPLETE
23,232.7217409801395,2025-11-15 17:08:26.058277,2025-11-15 17:09:06.869655,0 days 00:00:40.811378,16,7,0.3351352166680295,11,42,0.442594950915801,COMPLETE
24,254.67609786723241,2025-11-15 17:09:06.905798,2025-11-15 17:10:09.183246,0 days 00:01:02.277448,15,7,0.45197388196283705,10,118,0.42088953467500534,COMPLETE
25,258.8431435742281,2025-11-15 17:10:09.210262,2025-11-15 17:10:50.956069,0 days 00:00:41.745807,19,6,0.9833527386942332,11,48,0.5955422149211607,COMPLETE
26,298.6840930929824,2025-11-15 17:10:51.070096,2025-11-15 17:12:14.153713,0 days 00:01:23.083617,30,12,0.2471755497534062,8,226,0.4495070954078837,COMPLETE
27,244.626853772221,2025-11-15 17:12:14.227525,2025-11-15 17:12:28.554321,0 days 00:00:14.326796,5,1,0.009638624663036506,9,93,0.33572188134306824,COMPLETE
28,243.4391840415388,2025-11-15 17:12:28.568529,2025-11-15 17:18:26.566088,0 days 00:05:57.997559,15,9,0.0462550902746825,11,328,0.5599390119825892,COMPLETE
29,242.13338144357903,2025-11-15 17:18:26.578589,2025-11-15 17:22:48.740272,0 days 00:04:22.161683,18,19,0.0019747300496130975,8,506,0.7965990284228524,COMPLETE
30,238.33160001352803,2025-11-15 17:22:48.756217,2025-11-15 17:23:35.270025,0 days 00:00:46.513808,8,24,0.015222563428495291,10,42,0.3236673545702726,COMPLETE
31,238.38443828028016,2025-11-15 17:23:35.399109,2025-11-15 17:24:48.553763,0 days 00:01:13.154654,11,14,0.08616785139134281,12,23,0.22553668192229234,COMPLETE
32,239.02257284201332,2025-11-15 17:24:48.643391,2025-11-15 17:26:51.498869,0 days 00:02:02.855478,15,15,0.32092422515101093,12,33,0.16548665264953355,COMPLETE
33,240.24284241576078,2025-11-15 17:26:51.513816,2025-11-15 17:27:03.483297,0 days 00:00:11.969481,10,8,0.10463419652396984,11,10,0.4566800612492787,COMPLETE
34,227.08849516254523,2025-11-15 17:27:03.556957,2025-11-15 17:27:52.153969,0 days 00:00:48.597012,7,16,0.039872708635744436,9,61,0.29028009423766166,COMPLETE
35,237.531228534191,2025-11-15 17:27:52.173789,2025-11-15 17:28:45.789875,0 days 00:00:53.616086,6,18,0.04614078097523635,9,62,0.3706176965457633,COMPLETE
36,211.17527295615233,2025-11-15 17:28:45.804221,2025-11-15 17:29:33.270169,0 days 00:00:47.465948,3,22,0.43670847711251565,7,129,0.884848344326163,COMPLETE
