number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
31,54452.125178329494,2025-11-10 15:09:16.456567,2025-11-10 15:09:24.367279,0 days 00:00:07.910712,30,22,0.3269766466552814,1,23,0.7577015038055792,COMPLETE
32,53241.60119555165,2025-11-10 15:09:24.392641,2025-11-10 15:09:30.822779,0 days 00:00:06.430138,30,21,0.4380288243247618,1,22,0.7648884571724099,COMPLETE
33,59429.895161395056,2025-11-10 15:09:30.836013,2025-11-10 15:09:37.455788,0 days 00:00:06.619775,30,19,0.6641337197712138,4,10,0.8172231985944304,COMPLETE
34,77440.4216398829,2025-11-10 15:09:37.468583,2025-11-10 15:09:44.574966,0 days 00:00:07.106383,21,21,1.7256848320639886e-05,2,6,0.7033908757270717,COMPLETE
35,77053.5367234121,2025-11-10 15:09:44.601978,2025-11-10 15:09:52.467185,0 days 00:00:07.865207,25,28,0.4159626374373016,0,20,0.9059805031524488,COMPLETE
36,76555.37363279785,2025-11-10 15:09:52.505441,2025-11-10 15:09:59.101111,0 days 00:00:06.595670,29,20,0.007468438576323002,1,12,0.6669774952939675,COMPLETE
37,57615.00378121439,2025-11-10 15:09:59.123057,2025-11-10 15:10:09.459090,0 days 00:00:10.336033,24,26,0.8304275677905321,4,25,0.5774442545581051,COMPLETE
38,73967.17088106659,2025-11-10 15:10:09.472705,2025-11-10 15:10:16.122235,0 days 00:00:06.649530,21,18,0.11123249570261295,6,7,0.8132364145399672,COMPLETE
39,76236.61497837574,2025-11-10 15:10:16.134073,2025-11-10 15:10:26.981937,0 days 00:00:10.847864,27,14,0.03821369477218188,9,12,0.9174689997933585,COMPLETE
40,54212.02332346025,2025-11-10 15:10:26.994688,2025-11-10 15:10:35.996943,0 days 00:00:09.002255,21,22,0.4317473349773527,2,62,0.8544801039533373,COMPLETE
41,54524.62032607667,2025-11-10 15:10:36.012811,2025-11-10 15:10:44.777554,0 days 00:00:08.764743,21,22,0.4703312003120012,2,63,0.9896758990380776,COMPLETE
42,53983.75357683009,2025-11-10 15:10:44.802961,2025-11-10 15:10:52.356429,0 days 00:00:07.553468,23,22,0.983835006354415,1,52,0.8502339466360264,COMPLETE
43,77220.40603543543,2025-11-10 15:10:52.395729,2025-11-10 15:10:59.361735,0 days 00:00:06.966006,23,25,0.8688278576751822,0,110,0.8704852234548596,COMPLETE
44,54592.883639322674,2025-11-10 15:10:59.388766,2025-11-10 15:11:06.793640,0 days 00:00:07.404874,28,20,0.11403751370161068,1,47,0.8132782033090842,COMPLETE
45,59082.20415122328,2025-11-10 15:11:06.813146,2025-11-10 15:11:16.842121,0 days 00:00:10.028975,17,14,0.03084316142950413,3,106,0.7620147687108713,COMPLETE
46,58097.79502313479,2025-11-10 15:11:16.855294,2025-11-10 15:11:23.426628,0 days 00:00:06.571334,1,21,0.9940737874559026,1,60,0.9322700308035191,COMPLETE
47,77053.5296790621,2025-11-10 15:11:23.439910,2025-11-10 15:11:30.871880,0 days 00:00:07.431970,25,28,0.01376862766970498,0,26,0.8405569293718381,COMPLETE
48,60178.771494932895,2025-11-10 15:11:30.910708,2025-11-10 15:11:44.103116,0 days 00:00:13.192408,22,18,0.12702767971384246,5,89,0.7318466035831728,COMPLETE
49,71920.35179378952,2025-11-10 15:11:44.137714,2025-11-10 15:12:52.040504,0 days 00:01:07.902790,20,23,0.34359483390799767,11,48,0.6530643737336913,COMPLETE
50,77655.54048502145,2025-11-10 15:12:52.070023,2025-11-10 15:12:57.238921,0 days 00:00:05.168898,17,5,3.0505081428039245e-05,3,32,0.876028392068914,COMPLETE
51,55681.600833232456,2025-11-10 15:12:57.251917,2025-11-10 15:13:03.690212,0 days 00:00:06.438295,23,22,0.5088428620812413,2,12,0.95249839230117,COMPLETE
52,54390.345229928105,2025-11-10 15:13:03.704994,2025-11-10 15:13:11.138476,0 days 00:00:07.433482,20,25,0.272809776022829,2,19,0.7746011089797452,COMPLETE
53,53518.528030735055,2025-11-10 15:13:11.158414,2025-11-10 15:13:19.035228,0 days 00:00:07.876814,27,23,0.5744647589591656,1,14,0.8431410819530558,COMPLETE
54,71202.46289465556,2025-11-10 15:13:19.047618,2025-11-10 15:13:28.431249,0 days 00:00:09.383631,27,23,0.2177237738786066,7,8,0.713328948792539,COMPLETE
55,53615.954116687586,2025-11-10 15:13:28.443754,2025-11-10 15:13:34.556710,0 days 00:00:06.112956,29,20,0.6227384076446733,1,13,0.7956768577090676,COMPLETE
56,55399.14046580564,2025-11-10 15:13:34.569627,2025-11-10 15:13:41.046464,0 days 00:00:06.476837,29,20,0.6513021353565035,1,14,0.7937763531389805,COMPLETE
57,76997.5947541661,2025-11-10 15:13:41.081976,2025-11-10 15:13:47.432505,0 days 00:00:06.350529,29,18,0.15010625855777812,0,9,0.6064121363314248,COMPLETE
58,60680.29031032338,2025-11-10 15:13:47.475836,2025-11-10 15:13:53.322278,0 days 00:00:05.846442,26,17,0.08821349851143993,1,26,0.6727752347658562,COMPLETE
59,57090.336176494115,2025-11-10 15:13:53.348131,2025-11-10 15:14:02.533016,0 days 00:00:09.184885,28,24,0.6365943919294539,3,30,0.6958467758127822,COMPLETE
60,78092.32109322597,2025-11-10 15:14:02.546290,2025-11-10 15:14:08.420335,0 days 00:00:05.874045,7,9,0.0008201867188970087,4,21,0.8476961847895006,COMPLETE
61,54845.02322838873,2025-11-10 15:14:08.432557,2025-11-10 15:14:15.643612,0 days 00:00:07.211055,24,23,0.3098616110370527,1,14,0.8887162521673029,COMPLETE
62,77164.77093908665,2025-11-10 15:14:15.677348,2025-11-10 15:14:22.250071,0 days 00:00:06.572723,26,25,0.22191531912790863,0,14,0.7892230120061974,COMPLETE
63,56027.9932669639,2025-11-10 15:14:22.262953,2025-11-10 15:14:34.144938,0 days 00:00:11.881985,30,21,0.9703893214494155,2,150,0.8500024025598386,COMPLETE
64,77275.77901436211,2025-11-10 15:14:34.157117,2025-11-10 15:14:40.693392,0 days 00:00:06.536275,24,19,0.5306995779231156,0,74,0.9434440979845603,COMPLETE
65,52981.39364741235,2025-11-10 15:14:40.706173,2025-11-10 15:14:47.597379,0 days 00:00:06.891206,27,20,0.4038051848991428,1,44,0.830493268318387,COMPLETE
66,53177.799886806264,2025-11-10 15:14:47.623323,2025-11-10 15:14:55.192090,0 days 00:00:07.568767,27,20,0.17375217634363677,1,41,0.8254659824872961,COMPLETE
67,53759.71803954418,2025-11-10 15:14:55.211995,2025-11-10 15:15:01.775712,0 days 00:00:06.563717,27,16,0.17351360373585237,1,39,0.7372015957233711,COMPLETE
68,77109.2424375132,2025-11-10 15:15:01.789359,2025-11-10 15:15:07.562492,0 days 00:00:05.773133,27,15,0.05640012313825276,0,39,0.6182506396949046,COMPLETE
69,53972.09910575681,2025-11-10 15:15:07.574022,2025-11-10 15:15:14.242027,0 days 00:00:06.668005,28,13,0.16873462968893152,1,40,0.8066236430656586,COMPLETE
70,59063.14721160461,2025-11-10 15:15:14.277601,2025-11-10 15:15:22.208954,0 days 00:00:07.931353,29,17,0.09146992241922891,3,30,0.9050940946427637,COMPLETE
71,54298.779845555735,2025-11-10 15:15:22.232989,2025-11-10 15:15:29.265751,0 days 00:00:07.032762,28,20,0.34705037883900547,1,17,0.7307999165543517,COMPLETE
72,54999.517469641054,2025-11-10 15:15:29.278510,2025-11-10 15:15:36.421947,0 days 00:00:07.143437,26,16,0.2469394885249591,2,23,0.7743061887450597,COMPLETE
73,52062.14648704494,2025-11-10 15:15:36.459508,2025-11-10 15:15:40.316924,0 days 00:00:03.857416,30,1,0.6912280589519924,1,40,0.741858556238445,COMPLETE
74,76941.5046939727,2025-11-10 15:15:40.352769,2025-11-10 15:15:46.685975,0 days 00:00:06.333206,30,19,0.6607483451334051,0,44,0.8213205324567575,COMPLETE
75,52172.47193226492,2025-11-10 15:15:46.723147,2025-11-10 15:15:51.912665,0 days 00:00:05.189518,27,5,0.16328805313938552,2,40,0.6854225491774897,COMPLETE
76,51546.60318519348,2025-11-10 15:15:51.925580,2025-11-10 15:15:56.396498,0 days 00:00:04.470918,29,1,0.3363644217317697,2,28,0.6873084480258359,COMPLETE
77,51568.038607371906,2025-11-10 15:15:56.408844,2025-11-10 15:16:01.372826,0 days 00:00:04.963982,29,1,0.3359916127256695,2,30,0.6887464321052326,COMPLETE
78,52195.78764145471,2025-11-10 15:16:01.399329,2025-11-10 15:16:06.252326,0 days 00:00:04.852997,30,2,0.2865892871907153,2,29,0.5404476059676839,COMPLETE
79,58527.18251083857,2025-11-10 15:16:06.264191,2025-11-10 15:16:10.558013,0 days 00:00:04.293822,30,1,0.04175140346120981,2,53,0.5371987688806741,COMPLETE
80,60599.97861261778,2025-11-10 15:16:10.569338,2025-11-10 15:16:15.644207,0 days 00:00:05.074869,28,3,0.06505113973152137,3,30,0.5563782887128397,COMPLETE
81,52009.749769582275,2025-11-10 15:16:15.699319,2025-11-10 15:16:20.369437,0 days 00:00:04.670118,29,3,0.2671016741352756,2,27,0.6354245533939613,COMPLETE
82,53513.14860804578,2025-11-10 15:16:20.381221,2025-11-10 15:16:25.519991,0 days 00:00:05.138770,30,3,0.12493106156825134,2,35,0.6370928541431871,COMPLETE
83,52394.40605365641,2025-11-10 15:16:25.532011,2025-11-10 15:16:30.565404,0 days 00:00:05.033393,29,1,0.3642559038256119,3,27,0.5944682591752809,COMPLETE
84,53773.16827947027,2025-11-10 15:16:30.586587,2025-11-10 15:16:36.168685,0 days 00:00:05.582098,29,4,0.2757622713021133,3,27,0.6063638428518671,COMPLETE
85,51742.399969168255,2025-11-10 15:16:36.180776,2025-11-10 15:16:40.914823,0 days 00:00:04.734047,28,1,0.19794629937234487,2,41,0.513909547330143,COMPLETE
86,51999.9108868054,2025-11-10 15:16:40.950155,2025-11-10 15:16:46.013217,0 days 00:00:05.063062,29,1,0.36562661713158656,3,72,0.5042429168524812,COMPLETE
87,53032.24747009632,2025-11-10 15:16:46.024700,2025-11-10 15:16:52.509483,0 days 00:00:06.484783,29,1,0.09002661628710092,4,74,0.48860575412126545,COMPLETE
88,75577.58145752003,2025-11-10 15:16:52.522116,2025-11-10 15:16:57.581220,0 days 00:00:05.059104,28,2,0.0042935031903615405,3,53,0.586420902150631,COMPLETE
89,51790.890974321796,2025-11-10 15:16:57.593059,2025-11-10 15:17:03.205269,0 days 00:00:05.612210,29,2,0.23316338557147454,3,57,0.5308808548128624,COMPLETE
90,51821.16163707229,2025-11-10 15:17:03.216799,2025-11-10 15:17:09.365292,0 days 00:00:06.148493,30,6,0.2205883506593964,2,68,0.5143873383648199,COMPLETE
91,51764.54903839035,2025-11-10 15:17:09.390882,2025-11-10 15:17:15.925221,0 days 00:00:06.534339,30,7,0.2273870607003603,2,85,0.5240793401474795,COMPLETE
92,52847.48184376934,2025-11-10 15:17:15.946232,2025-11-10 15:17:22.367442,0 days 00:00:06.421210,28,6,0.2109750484012103,2,86,0.505251651742092,COMPLETE
93,53132.60664809057,2025-11-10 15:17:22.393724,2025-11-10 15:17:29.776818,0 days 00:00:07.383094,30,7,0.13120431363264679,3,59,0.4368941373089623,COMPLETE
94,52544.02789573816,2025-11-10 15:17:29.809171,2025-11-10 15:17:35.662081,0 days 00:00:05.852910,26,4,0.21316514578132628,2,100,0.5602708030838043,COMPLETE
95,56951.708363884616,2025-11-10 15:17:35.674456,2025-11-10 15:17:45.579476,0 days 00:00:09.905020,29,4,0.02509592926095976,4,141,0.5060533077418244,COMPLETE
96,54619.643563211386,2025-11-10 15:17:45.591418,2025-11-10 15:17:52.783951,0 days 00:00:07.192533,28,2,0.0751242680964883,5,70,0.6857599839242912,COMPLETE
97,51767.86157303822,2025-11-10 15:17:52.796501,2025-11-10 15:18:00.741676,0 days 00:00:07.945175,30,5,0.7532833141989581,2,197,0.45998897568506447,COMPLETE
98,53466.2911729763,2025-11-10 15:18:00.767600,2025-11-10 15:18:10.362575,0 days 00:00:09.594975,30,3,0.7401464418745034,3,235,0.37148184411010987,COMPLETE
99,56526.35395762153,2025-11-10 15:18:10.375670,2025-11-10 15:18:24.033253,0 days 00:00:13.657583,29,9,0.38967940878442026,4,185,0.4434605159671229,COMPLETE
100,51959.58361358762,2025-11-10 15:18:24.056825,2025-11-10 15:18:32.465046,0 days 00:00:08.408221,29,2,0.25612250294500677,2,253,0.427786497593967,COMPLETE
101,51712.492313942996,2025-11-10 15:18:32.487353,2025-11-10 15:18:41.424289,0 days 00:00:08.936936,29,2,0.266978007828318,2,314,0.4756751296228484,COMPLETE
102,51471.05567651258,2025-11-10 15:18:41.437225,2025-11-10 15:18:52.972223,0 days 00:00:11.534998,28,2,0.26831232802764704,2,529,0.4699962965923302,COMPLETE
