number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
0,54.55503623188406,2025-11-15 15:44:31.186515,2025-11-15 15:44:48.268525,0 days 00:00:17.082010,absolute_error,22,23,4,86,115,True,COMPLETE
1,62.2947802473132,2025-11-15 15:44:48.375337,2025-11-15 15:44:52.952351,0 days 00:00:04.577014,friedman_mse,4,4,4,50,21,True,COMPLETE
2,54.634923428969195,2025-11-15 15:44:52.973170,2025-11-15 15:44:57.434817,0 days 00:00:04.461647,poisson,27,21,3,95,16,False,COMPLETE
3,54.087512646977174,2025-11-15 15:44:57.447887,2025-11-15 15:45:02.305174,0 days 00:00:04.857287,friedman_mse,8,15,4,10,20,False,COMPLETE
4,56.84548322140281,2025-11-15 15:45:02.471820,2025-11-15 15:45:06.997014,0 days 00:00:04.525194,squared_error,15,20,17,97,10,False,COMPLETE
5,55.84493788225467,2025-11-15 15:45:07.085705,2025-11-15 15:45:11.839814,0 days 00:00:04.754109,friedman_mse,23,12,12,87,17,False,COMPLETE
6,51.45999594155844,2025-11-15 15:45:11.896977,2025-11-15 15:45:37.181060,0 days 00:00:25.284083,absolute_error,23,28,6,12,88,False,COMPLETE
7,55.71368110679778,2025-11-15 15:45:37.198498,2025-11-15 15:46:12.404039,0 days 00:00:35.205541,squared_error,7,28,4,66,594,False,COMPLETE
8,62.61342439742803,2025-11-15 15:46:12.465135,2025-11-15 15:46:17.322126,0 days 00:00:04.856991,squared_error,3,5,2,18,29,False,COMPLETE
9,54.59807374338624,2025-11-15 15:46:17.381901,2025-11-15 15:46:33.474114,0 days 00:00:16.092213,absolute_error,22,12,15,18,144,False,COMPLETE
10,52.36313930713675,2025-11-15 15:46:33.601292,2025-11-15 15:47:48.671810,0 days 00:01:15.070518,absolute_error,15,29,9,11,389,True,COMPLETE
11,53.00924080226406,2025-11-15 15:47:48.712545,2025-11-15 15:49:04.586736,0 days 00:01:15.874191,absolute_error,14,30,9,10,387,True,COMPLETE
12,51.413003627232136,2025-11-15 15:49:04.669235,2025-11-15 15:49:57.306625,0 days 00:00:52.637390,absolute_error,29,26,9,16,256,True,COMPLETE
13,51.324678362573096,2025-11-15 15:49:57.338215,2025-11-15 15:50:12.713966,0 days 00:00:15.375751,absolute_error,30,25,8,19,57,True,COMPLETE
14,54.100175011515624,2025-11-15 15:50:12.768205,2025-11-15 15:50:19.328076,0 days 00:00:06.559871,poisson,30,24,12,28,51,True,COMPLETE
15,54.74541470434328,2025-11-15 15:50:19.341244,2025-11-15 15:50:42.324802,0 days 00:00:22.983558,absolute_error,30,17,20,23,182,True,COMPLETE
16,51.60721159951161,2025-11-15 15:50:42.360804,2025-11-15 15:53:53.005909,0 days 00:03:10.645105,absolute_error,26,24,7,16,975,True,COMPLETE
17,53.93902236652237,2025-11-15 15:53:53.089257,2025-11-15 15:54:06.568217,0 days 00:00:13.478960,absolute_error,19,26,11,39,66,True,COMPLETE
18,56.42720599664892,2025-11-15 15:54:06.640962,2025-11-15 15:54:20.170922,0 days 00:00:13.529960,poisson,27,18,14,24,231,True,COMPLETE
19,52.21211011904761,2025-11-15 15:54:20.195646,2025-11-15 15:54:28.822013,0 days 00:00:08.626367,absolute_error,19,14,7,14,40,True,COMPLETE
20,54.690147783251234,2025-11-15 15:54:28.939136,2025-11-15 15:54:49.779475,0 days 00:00:20.840339,absolute_error,11,8,8,37,232,True,COMPLETE
21,52.39287624926514,2025-11-15 15:54:49.884648,2025-11-15 15:55:10.166555,0 days 00:00:20.281907,absolute_error,25,27,6,13,81,False,COMPLETE
22,51.27882289994649,2025-11-15 15:55:10.232299,2025-11-15 15:55:29.875337,0 days 00:00:19.643038,absolute_error,30,26,6,20,89,True,COMPLETE
23,51.222532467532474,2025-11-15 15:55:29.957246,2025-11-15 15:55:44.200131,0 days 00:00:14.242885,absolute_error,30,21,1,20,44,True,COMPLETE
24,50.942018002322875,2025-11-15 15:55:44.294807,2025-11-15 15:55:58.746866,0 days 00:00:14.452059,absolute_error,28,21,1,22,41,True,COMPLETE
25,50.552135176651305,2025-11-15 15:55:58.794991,2025-11-15 15:56:10.463811,0 days 00:00:11.668820,absolute_error,28,21,1,25,31,True,COMPLETE
26,55.563263481229384,2025-11-15 15:56:10.477770,2025-11-15 15:56:16.162170,0 days 00:00:05.684400,poisson,18,21,1,31,36,True,COMPLETE
27,51.32779586019831,2025-11-15 15:56:16.266014,2025-11-15 15:56:21.757857,0 days 00:00:05.491843,friedman_mse,27,19,2,25,30,True,COMPLETE
