number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,246.26951488152304,2025-11-15 23:45:30.893866,2025-11-15 23:52:23.405127,0 days 00:06:52.511261,25,27,0.0038953275040449022,10,711,0.8140431550420908,COMPLETE
1,248.92941658372382,2025-11-15 23:52:23.473107,2025-11-15 23:52:34.958790,0 days 00:00:11.485683,2,28,0.07037949802776276,10,18,0.1404546441322364,COMPLETE
2,257.7187203975895,2025-11-15 23:52:34.998837,2025-11-15 23:52:36.432368,0 days 00:00:01.433531,16,19,0.03043971099025789,3,45,0.35260975833141095,COMPLETE
3,248.22819633355635,2025-11-15 23:52:36.561808,2025-11-15 23:52:41.353668,0 days 00:00:04.791860,22,6,3.8051504718146555e-05,4,853,0.5638212344791084,COMPLETE
4,247.8503005356476,2025-11-15 23:52:41.471350,2025-11-15 23:52:50.133285,0 days 00:00:08.661935,22,7,0.00011278241464706047,6,581,0.9809367689132881,COMPLETE
5,248.16992628092376,2025-11-15 23:52:50.236386,2025-11-15 23:52:51.196158,0 days 00:00:00.959772,18,14,2.102746073631409e-05,4,25,0.8450775916555482,COMPLETE
6,248.40948981353077,2025-11-15 23:52:51.311533,2025-11-15 23:58:37.893137,0 days 00:05:46.581604,11,25,1.1498636566907643e-05,11,218,0.571799509494032,COMPLETE
7,261.26873755704395,2025-11-15 23:58:37.934552,2025-11-15 23:59:55.224032,0 days 00:01:17.289480,3,10,0.058032384055050096,11,111,0.6312687467300871,COMPLETE
8,252.7740618916213,2025-11-15 23:59:55.276281,2025-11-15 23:59:57.541117,0 days 00:00:02.264836,16,24,0.001139890904472528,1,483,0.7112569443217485,COMPLETE
9,248.3436066492962,2025-11-15 23:59:57.597625,2025-11-16 00:00:00.934287,0 days 00:00:03.336662,25,23,0.002260573054564067,9,5,0.7925402779398855,COMPLETE
10,310.68897886851227,2025-11-16 00:00:00.969199,2025-11-16 00:01:03.947993,0 days 00:01:02.978794,30,30,0.7900167548147192,8,234,0.9890418892454271,COMPLETE
11,245.32914656487728,2025-11-16 00:01:03.987578,2025-11-16 00:01:12.164266,0 days 00:00:08.176688,26,2,0.0002143269336442697,6,964,0.9963571125609428,COMPLETE
12,244.58619812816718,2025-11-16 00:01:12.262436,2025-11-16 00:01:22.737278,0 days 00:00:10.474842,30,1,0.00031701129198198163,7,888,0.8571055977698135,COMPLETE
13,247.27351108407402,2025-11-16 00:01:22.902004,2025-11-16 00:01:26.375410,0 days 00:00:03.473406,30,1,0.00028269352695151886,7,271,0.40290134009765355,COMPLETE
