number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
0,260.29187435675385,2025-11-15 15:44:35.720328,2025-11-15 15:44:44.212728,0 days 00:00:08.492400,poisson,24,22,1,11,16,False,COMPLETE
1,242.00186512866017,2025-11-15 15:44:44.351972,2025-11-15 15:45:03.700212,0 days 00:00:19.348240,absolute_error,13,28,8,16,25,True,COMPLETE
2,267.2043401390116,2025-11-15 15:45:03.803887,2025-11-15 15:45:53.333169,0 days 00:00:49.529282,friedman_mse,24,10,7,56,714,True,COMPLETE
3,256.4519815368699,2025-11-15 15:45:53.419129,2025-11-15 15:46:59.480207,0 days 00:01:06.061078,squared_error,22,22,18,42,751,True,COMPLETE
4,267.0629385100334,2025-11-15 15:46:59.546982,2025-11-15 15:47:07.072879,0 days 00:00:07.525897,friedman_mse,27,6,6,51,25,True,COMPLETE
5,262.5019887305641,2025-11-15 15:47:07.102528,2025-11-15 15:47:16.366613,0 days 00:00:09.264085,friedman_mse,9,24,8,23,31,False,COMPLETE
6,279.7386559460114,2025-11-15 15:47:16.479808,2025-11-15 15:47:23.421173,0 days 00:00:06.941365,poisson,3,25,15,11,10,False,COMPLETE
7,260.99174128149286,2025-11-15 15:47:23.514834,2025-11-15 15:47:42.434621,0 days 00:00:18.919787,absolute_error,12,21,7,39,33,True,COMPLETE
8,249.6681775326527,2025-11-15 15:47:42.449144,2025-11-15 15:48:52.463994,0 days 00:01:10.014850,poisson,15,29,1,11,368,False,COMPLETE
9,266.8572358907617,2025-11-15 15:48:52.504514,2025-11-15 15:49:01.256692,0 days 00:00:08.752178,squared_error,11,28,20,50,29,True,COMPLETE
10,283.88570763087847,2025-11-15 15:49:01.269887,2025-11-15 15:49:27.935823,0 days 00:00:26.665936,absolute_error,3,15,13,96,110,True,COMPLETE
11,253.53698293186707,2025-11-15 15:49:27.978812,2025-11-15 15:50:10.087347,0 days 00:00:42.108535,poisson,19,30,1,18,220,False,COMPLETE
12,255.81542526674212,2025-11-15 15:50:10.151417,2025-11-15 15:52:00.168392,0 days 00:01:50.016975,absolute_error,16,15,4,17,283,False,COMPLETE
13,269.6768839857049,2025-11-15 15:52:00.230275,2025-11-15 15:52:15.334402,0 days 00:00:15.104127,poisson,15,30,11,15,81,False,COMPLETE
