number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
15,238.8454156285146,2025-11-15 15:51:08.220541,2025-11-15 15:51:16.611045,0 days 00:00:08.390504,squared_error,9,11,9,26,71,True,COMPLETE
16,231.63448247150046,2025-11-15 15:51:16.683178,2025-11-15 15:51:26.936943,0 days 00:00:10.253765,poisson,9,10,1,10,72,True,COMPLETE
17,236.05760895709415,2025-11-15 15:51:26.949596,2025-11-15 15:51:33.706181,0 days 00:00:06.756585,poisson,17,6,1,10,19,True,COMPLETE
18,223.1000202681921,2025-11-15 15:51:33.730012,2025-11-15 15:51:40.278698,0 days 00:00:06.548686,poisson,18,3,1,10,19,False,COMPLETE
19,268.0912712995464,2025-11-15 15:51:40.344006,2025-11-15 15:51:46.798753,0 days 00:00:06.454747,poisson,22,1,2,10,21,False,COMPLETE
20,248.98400724516029,2025-11-15 15:51:46.810400,2025-11-15 15:52:00.988794,0 days 00:00:14.178394,poisson,5,4,4,14,160,False,COMPLETE
21,207.50695008980807,2025-11-15 15:52:01.002188,2025-11-15 15:52:07.901200,0 days 00:00:06.899012,poisson,16,7,1,10,17,False,COMPLETE
22,234.39865204769717,2025-11-15 15:52:07.947155,2025-11-15 15:52:14.759075,0 days 00:00:06.811920,poisson,20,9,1,12,14,False,COMPLETE
23,239.10112010701664,2025-11-15 15:52:14.962122,2025-11-15 15:52:22.878565,0 days 00:00:07.916443,poisson,12,6,5,19,65,False,COMPLETE
24,259.8984718525091,2025-11-15 15:52:22.897066,2025-11-15 15:52:35.327060,0 days 00:00:12.429994,absolute_error,16,12,2,12,18,False,COMPLETE
25,253.49148840651173,2025-11-15 15:52:35.421287,2025-11-15 15:52:42.158164,0 days 00:00:06.736877,poisson,10,6,5,12,10,False,COMPLETE
26,274.79197222409476,2025-11-15 15:52:42.204182,2025-11-15 15:52:49.824061,0 days 00:00:07.619879,poisson,24,13,3,16,24,False,COMPLETE
27,235.03948063435837,2025-11-15 15:52:49.862466,2025-11-15 15:52:58.127291,0 days 00:00:08.264825,poisson,14,9,1,22,43,False,COMPLETE
28,228.52296358988823,2025-11-15 15:52:58.139283,2025-11-15 15:53:31.678529,0 days 00:00:33.539246,poisson,12,4,5,10,564,False,COMPLETE
29,244.7953996395138,2025-11-15 15:53:31.730697,2025-11-15 15:53:56.101622,0 days 00:00:24.370925,friedman_mse,19,3,3,14,403,False,COMPLETE
30,258.5128387660516,2025-11-15 15:53:56.165443,2025-11-15 15:55:05.963187,0 days 00:01:09.797744,absolute_error,15,4,6,22,591,False,COMPLETE
31,226.27720247397951,2025-11-15 15:55:05.976609,2025-11-15 15:55:23.321210,0 days 00:00:17.344601,poisson,8,8,3,10,162,False,COMPLETE
32,231.9796698094955,2025-11-15 15:55:23.371320,2025-11-15 15:55:40.829103,0 days 00:00:17.457783,poisson,7,7,3,11,182,False,COMPLETE
33,232.49373110930392,2025-11-15 15:55:40.941175,2025-11-15 15:56:06.901471,0 days 00:00:25.960296,poisson,13,1,5,12,486,False,COMPLETE
34,226.63435420634187,2025-11-15 15:56:07.011450,2025-11-15 15:56:14.565012,0 days 00:00:07.553562,poisson,12,7,3,15,34,False,COMPLETE
35,225.33730422362245,2025-11-15 15:56:14.690880,2025-11-15 15:56:22.469189,0 days 00:00:07.778309,poisson,8,7,3,16,33,False,COMPLETE
36,251.31988734849952,2025-11-15 15:56:22.587306,2025-11-15 15:56:30.433472,0 days 00:00:07.846166,friedman_mse,8,14,2,18,15,False,COMPLETE
37,251.61025765510962,2025-11-15 15:56:30.479676,2025-11-15 15:56:39.076272,0 days 00:00:08.596596,poisson,4,8,1,21,43,False,COMPLETE
38,240.4999149604445,2025-11-15 15:56:39.178375,2025-11-15 15:56:46.769195,0 days 00:00:07.590820,poisson,1,5,6,13,31,False,COMPLETE
39,294.1735262311446,2025-11-15 15:56:46.781691,2025-11-15 15:57:08.180003,0 days 00:00:21.398312,absolute_error,22,11,20,11,96,False,COMPLETE
40,255.68556667470202,2025-11-15 15:57:08.194967,2025-11-15 15:57:15.809829,0 days 00:00:07.614862,friedman_mse,16,3,4,16,27,False,COMPLETE
41,227.41724127213962,2025-11-15 15:57:15.850359,2025-11-15 15:57:25.252370,0 days 00:00:09.402011,poisson,11,8,3,15,35,False,COMPLETE
42,233.64681917709072,2025-11-15 15:57:25.276984,2025-11-15 15:57:34.693424,0 days 00:00:09.416440,poisson,7,7,3,13,49,False,COMPLETE
43,219.0414758779507,2025-11-15 15:57:34.751009,2025-11-15 15:57:43.208987,0 days 00:00:08.457978,poisson,10,5,2,11,17,False,COMPLETE
44,255.87765303760725,2025-11-15 15:57:43.318352,2025-11-15 15:57:50.969999,0 days 00:00:07.651647,poisson,3,2,2,11,12,False,COMPLETE
45,262.15203427285235,2025-11-15 15:57:51.006432,2025-11-15 15:57:58.309203,0 days 00:00:07.302771,poisson,6,5,14,11,16,False,COMPLETE
46,250.28294791693065,2025-11-15 15:57:58.321240,2025-11-15 15:58:06.867950,0 days 00:00:08.546710,poisson,10,10,18,41,23,False,COMPLETE
47,237.78702144712466,2025-11-15 15:58:06.929086,2025-11-15 15:58:20.664465,0 days 00:00:13.735379,squared_error,15,3,10,13,145,False,COMPLETE
48,238.00418654129135,2025-11-15 15:58:20.808630,2025-11-15 15:58:49.806704,0 days 00:00:28.998074,poisson,18,5,2,10,270,False,COMPLETE
49,205.58167920585703,2025-11-15 15:58:49.818521,2025-11-15 15:58:57.140728,0 days 00:00:07.322207,poisson,9,8,4,11,11,False,COMPLETE
50,263.6270387997096,2025-11-15 15:58:57.152312,2025-11-15 15:59:04.745906,0 days 00:00:07.593594,absolute_error,14,1,4,31,11,False,COMPLETE
51,223.6917347743892,2025-11-15 15:59:04.818341,2025-11-15 15:59:14.765905,0 days 00:00:09.947564,poisson,8,8,1,11,17,False,COMPLETE
52,247.7314716640884,2025-11-15 15:59:14.813524,2025-11-15 15:59:24.611955,0 days 00:00:09.798431,poisson,5,10,1,11,17,False,COMPLETE
53,225.7987918120702,2025-11-15 15:59:24.662510,2025-11-15 15:59:33.940141,0 days 00:00:09.277631,poisson,9,12,1,13,13,False,COMPLETE
54,237.10923603521178,2025-11-15 15:59:33.952189,2025-11-15 15:59:41.688822,0 days 00:00:07.736633,poisson,8,6,2,17,20,False,COMPLETE
55,247.52808600210565,2025-11-15 15:59:41.792700,2025-11-15 15:59:50.282907,0 days 00:00:08.490207,squared_error,11,9,4,12,15,False,COMPLETE
56,266.288173290286,2025-11-15 15:59:50.355058,2025-11-15 15:59:58.142629,0 days 00:00:07.787571,poisson,17,2,6,15,28,False,COMPLETE
57,238.43863667710463,2025-11-15 15:59:58.156940,2025-11-15 16:00:07.287526,0 days 00:00:09.130586,friedman_mse,20,22,1,11,10,True,COMPLETE
58,246.95623862051949,2025-11-15 16:00:07.315462,2025-11-15 16:00:18.202884,0 days 00:00:10.887422,poisson,6,17,2,14,24,False,COMPLETE
59,224.3538249325671,2025-11-15 16:00:18.275117,2025-11-15 16:00:27.104453,0 days 00:00:08.829336,poisson,13,5,11,10,19,False,COMPLETE
60,230.29417902726277,2025-11-15 16:00:27.119060,2025-11-15 16:00:37.625707,0 days 00:00:10.506647,poisson,13,5,12,10,12,False,COMPLETE
61,230.13027634582096,2025-11-15 16:00:37.705730,2025-11-15 16:00:46.173093,0 days 00:00:08.467363,poisson,10,7,9,12,20,False,COMPLETE
62,229.94812738159004,2025-11-15 16:00:46.196624,2025-11-15 16:00:53.844766,0 days 00:00:07.648142,poisson,11,3,11,10,17,False,COMPLETE
63,214.58315846686338,2025-11-15 16:00:53.858418,2025-11-15 16:01:01.890682,0 days 00:00:08.032264,poisson,13,4,12,11,23,False,COMPLETE
64,223.29435350049616,2025-11-15 16:01:01.950954,2025-11-15 16:01:11.057278,0 days 00:00:09.106324,poisson,13,4,13,11,14,False,COMPLETE
65,284.0973825366323,2025-11-15 16:01:11.160159,2025-11-15 16:01:19.193435,0 days 00:00:08.033276,poisson,17,4,16,13,14,True,COMPLETE
66,261.5462887343514,2025-11-15 16:01:19.207825,2025-11-15 16:01:27.203872,0 days 00:00:07.996047,poisson,14,2,13,86,11,False,COMPLETE
67,259.68662886717163,2025-11-15 16:01:27.238098,2025-11-15 16:01:35.114321,0 days 00:00:07.876223,squared_error,16,4,15,63,23,False,COMPLETE
68,242.3711325160457,2025-11-15 16:01:35.126995,2025-11-15 16:01:45.020881,0 days 00:00:09.893886,poisson,15,20,12,11,14,False,COMPLETE
69,255.24545252883763,2025-11-15 16:01:45.076512,2025-11-15 16:01:56.274585,0 days 00:00:11.198073,absolute_error,12,6,16,12,17,False,COMPLETE
70,237.34208133032433,2025-11-15 16:01:56.515402,2025-11-15 16:02:04.211950,0 days 00:00:07.696548,poisson,19,8,9,13,12,True,COMPLETE
71,227.68482411726217,2025-11-15 16:02:04.283333,2025-11-15 16:02:12.993729,0 days 00:00:08.710396,poisson,9,5,13,10,20,False,COMPLETE
72,224.03414905159258,2025-11-15 16:02:13.008099,2025-11-15 16:02:20.990384,0 days 00:00:07.982285,poisson,13,6,12,11,18,False,COMPLETE
73,219.24515412309552,2025-11-15 16:02:21.005596,2025-11-15 16:02:29.805898,0 days 00:00:08.800302,poisson,13,4,14,11,27,False,COMPLETE
74,255.09630335328785,2025-11-15 16:02:29.879158,2025-11-15 16:02:38.906462,0 days 00:00:09.027304,poisson,11,4,14,14,28,False,COMPLETE
75,231.0359023804552,2025-11-15 16:02:38.960999,2025-11-15 16:02:46.591875,0 days 00:00:07.630876,poisson,14,3,14,12,22,False,COMPLETE
76,248.31164937101144,2025-11-15 16:02:46.662572,2025-11-15 16:02:53.928234,0 days 00:00:07.265662,friedman_mse,16,1,13,14,26,False,COMPLETE
77,250.80775326610242,2025-11-15 16:02:53.940863,2025-11-15 16:03:02.750398,0 days 00:00:08.809535,poisson,18,8,15,11,38,False,COMPLETE
78,229.81908298623298,2025-11-15 16:03:02.828737,2025-11-15 16:03:12.345714,0 days 00:00:09.516977,poisson,10,26,10,12,15,False,COMPLETE
79,237.11095038292083,2025-11-15 16:03:12.360095,2025-11-15 16:03:20.348992,0 days 00:00:07.988897,poisson,12,9,2,41,13,False,COMPLETE
80,241.3708390555501,2025-11-15 16:03:20.411283,2025-11-15 16:03:29.385571,0 days 00:00:08.974288,poisson,15,3,16,10,53,False,COMPLETE
81,224.03414905159258,2025-11-15 16:03:29.433842,2025-11-15 16:03:37.456764,0 days 00:00:08.022922,poisson,13,6,12,11,18,False,COMPLETE
82,234.3962484052971,2025-11-15 16:03:37.546611,2025-11-15 16:03:45.064712,0 days 00:00:07.518101,poisson,13,7,14,11,10,False,COMPLETE
83,264.07799763382445,2025-11-15 16:03:45.128131,2025-11-15 16:03:52.412867,0 days 00:00:07.284736,poisson,28,6,11,13,16,False,COMPLETE
84,252.57739100362673,2025-11-15 16:03:52.425647,2025-11-15 16:03:59.033010,0 days 00:00:06.607363,poisson,11,2,12,26,30,False,COMPLETE
85,227.73367187853074,2025-11-15 16:03:59.113975,2025-11-15 16:04:08.549976,0 days 00:00:09.436001,poisson,9,4,1,15,21,False,COMPLETE
86,266.8341897233201,2025-11-15 16:04:08.596335,2025-11-15 16:04:18.939646,0 days 00:00:10.343311,absolute_error,14,11,13,12,11,False,COMPLETE
87,238.00726368726356,2025-11-15 16:04:18.979223,2025-11-15 16:04:27.137113,0 days 00:00:08.157890,poisson,17,5,1,46,25,False,COMPLETE
88,238.08349607340352,2025-11-15 16:04:27.172949,2025-11-15 16:04:35.675368,0 days 00:00:08.502419,squared_error,7,6,2,11,14,True,COMPLETE
89,248.7121956947441,2025-11-15 16:04:35.711575,2025-11-15 16:04:44.178394,0 days 00:00:08.466819,poisson,12,2,8,14,18,False,COMPLETE
90,259.28655615860833,2025-11-15 16:04:44.203269,2025-11-15 16:04:52.464226,0 days 00:00:08.260957,poisson,10,8,12,19,16,False,COMPLETE
91,224.03414905159258,2025-11-15 16:04:52.551095,2025-11-15 16:05:00.448151,0 days 00:00:07.897056,poisson,13,6,12,11,18,False,COMPLETE
92,241.24676903111148,2025-11-15 16:05:00.463153,2025-11-15 16:05:08.716338,0 days 00:00:08.253185,poisson,15,4,11,10,22,False,COMPLETE
93,227.3016959174161,2025-11-15 16:05:08.830210,2025-11-15 16:05:21.824782,0 days 00:00:12.994572,poisson,13,7,13,12,90,False,COMPLETE
94,254.48227225157402,2025-11-15 16:05:21.852055,2025-11-15 16:05:29.204882,0 days 00:00:07.352827,poisson,19,5,10,11,13,False,COMPLETE
95,235.2977838959048,2025-11-15 16:05:29.272252,2025-11-15 16:05:37.428142,0 days 00:00:08.155890,friedman_mse,12,10,14,13,18,False,COMPLETE
96,265.6489056441565,2025-11-15 16:05:37.442525,2025-11-15 16:05:44.831029,0 days 00:00:07.388504,poisson,15,7,15,10,15,False,COMPLETE
97,213.86167496162506,2025-11-15 16:05:44.856609,2025-11-15 16:05:52.257885,0 days 00:00:07.401276,poisson,16,4,1,12,11,False,COMPLETE
98,223.92304148216627,2025-11-15 16:05:52.275675,2025-11-15 16:05:59.333886,0 days 00:00:07.058211,poisson,16,3,1,32,11,False,COMPLETE
99,230.43437608821563,2025-11-15 16:05:59.372363,2025-11-15 16:06:07.217495,0 days 00:00:07.845132,poisson,16,3,1,33,11,False,COMPLETE
100,241.11819510730191,2025-11-15 16:06:07.244234,2025-11-15 16:06:13.890629,0 days 00:00:06.646395,poisson,18,1,2,28,10,False,COMPLETE
101,243.5582162805143,2025-11-15 16:06:13.945714,2025-11-15 16:06:21.488831,0 days 00:00:07.543117,poisson,17,4,1,35,13,False,COMPLETE
102,212.79425405336116,2025-11-15 16:06:21.500576,2025-11-15 16:06:28.555181,0 days 00:00:07.054605,poisson,7,3,1,29,12,False,COMPLETE
103,221.0780076910145,2025-11-15 16:06:28.646630,2025-11-15 16:06:36.908074,0 days 00:00:08.261444,poisson,7,3,1,24,12,False,COMPLETE
104,236.42882310966175,2025-11-15 16:06:36.957216,2025-11-15 16:06:45.427850,0 days 00:00:08.470634,poisson,7,2,3,10,12,False,COMPLETE
105,256.296351063124,2025-11-15 16:06:45.447220,2025-11-15 16:06:53.932626,0 days 00:00:08.485406,poisson,5,4,2,20,14,False,COMPLETE
106,271.32015675835544,2025-11-15 16:06:53.950826,2025-11-15 16:07:04.565584,0 days 00:00:10.614758,absolute_error,8,5,1,29,12,True,COMPLETE
107,241.1655282947037,2025-11-15 16:07:04.608723,2025-11-15 16:07:12.363167,0 days 00:00:07.754444,poisson,6,3,2,23,10,False,COMPLETE
108,255.00830064757548,2025-11-15 16:07:12.414251,2025-11-15 16:07:19.866167,0 days 00:00:07.451916,poisson,5,1,4,24,16,False,COMPLETE
109,258.2759049730367,2025-11-15 16:07:19.936257,2025-11-15 16:07:29.041404,0 days 00:00:09.105147,squared_error,4,5,3,30,20,False,COMPLETE
110,223.9222636666397,2025-11-15 16:07:29.054451,2025-11-15 16:07:36.913600,0 days 00:00:07.859149,poisson,8,2,1,17,15,False,COMPLETE
111,237.34754597358113,2025-11-15 16:07:36.969660,2025-11-15 16:07:44.122680,0 days 00:00:07.153020,poisson,9,2,1,18,15,False,COMPLETE
112,225.97313361358752,2025-11-15 16:07:44.135240,2025-11-15 16:07:54.067003,0 days 00:00:09.931763,poisson,7,30,2,17,12,False,COMPLETE
113,218.714002020564,2025-11-15 16:07:54.080394,2025-11-15 16:08:01.396430,0 days 00:00:07.316036,poisson,8,3,1,26,13,False,COMPLETE
114,254.47534076862217,2025-11-15 16:08:01.452659,2025-11-15 16:08:09.402763,0 days 00:00:07.950104,poisson,6,4,1,25,13,False,COMPLETE
115,221.9492732133189,2025-11-15 16:08:09.501718,2025-11-15 16:08:17.100084,0 days 00:00:07.598366,poisson,8,4,3,26,11,False,COMPLETE
116,211.3287624259142,2025-11-15 16:08:17.159805,2025-11-15 16:08:24.368475,0 days 00:00:07.208670,poisson,8,3,3,27,11,False,COMPLETE
117,250.88049663109155,2025-11-15 16:08:24.446936,2025-11-15 16:08:31.559999,0 days 00:00:07.113063,poisson,8,1,3,26,11,False,COMPLETE
118,251.03625873309846,2025-11-15 16:08:31.707486,2025-11-15 16:08:39.412453,0 days 00:00:07.704967,friedman_mse,9,3,3,28,10,False,COMPLETE
119,246.08959311044396,2025-11-15 16:08:39.517263,2025-11-15 16:08:46.381684,0 days 00:00:06.864421,poisson,10,3,4,23,13,False,COMPLETE
120,244.40743817024594,2025-11-15 16:08:46.448691,2025-11-15 16:08:53.664435,0 days 00:00:07.215744,poisson,4,4,2,21,11,False,COMPLETE
121,219.99479057912112,2025-11-15 16:08:53.677433,2025-11-15 16:09:00.813642,0 days 00:00:07.136209,poisson,7,4,2,27,12,False,COMPLETE
122,233.51089512695893,2025-11-15 16:09:00.868988,2025-11-15 16:09:08.816689,0 days 00:00:07.947701,poisson,7,5,2,27,12,False,COMPLETE
123,240.3865027674051,2025-11-15 16:09:08.867916,2025-11-15 16:09:16.012041,0 days 00:00:07.144125,poisson,7,3,2,24,10,False,COMPLETE
124,226.2900457261673,2025-11-15 16:09:16.076188,2025-11-15 16:09:23.995213,0 days 00:00:07.919025,poisson,9,2,4,34,14,False,COMPLETE
125,247.48070033191993,2025-11-15 16:09:24.120805,2025-11-15 16:09:31.076984,0 days 00:00:06.956179,poisson,6,3,2,30,11,False,COMPLETE
126,210.89737916994667,2025-11-15 16:09:31.090405,2025-11-15 16:09:39.192424,0 days 00:00:08.102019,poisson,8,5,3,37,16,False,COMPLETE
127,210.89737916994667,2025-11-15 16:09:39.276607,2025-11-15 16:09:46.998212,0 days 00:00:07.721605,poisson,8,5,3,37,16,True,COMPLETE
128,230.60888400531775,2025-11-15 16:09:47.065043,2025-11-15 16:09:54.490330,0 days 00:00:07.425287,poisson,8,5,5,36,16,True,COMPLETE
129,257.02355158731825,2025-11-15 16:09:54.557006,2025-11-15 16:10:03.070486,0 days 00:00:08.513480,poisson,10,6,3,38,13,True,COMPLETE
130,270.3097815523725,2025-11-15 16:10:03.113401,2025-11-15 16:10:15.107132,0 days 00:00:11.993731,absolute_error,6,5,2,40,21,True,COMPLETE
131,232.63482444727478,2025-11-15 16:10:15.143251,2025-11-15 16:10:21.973065,0 days 00:00:06.829814,poisson,8,4,3,50,12,True,COMPLETE
132,218.14238413580648,2025-11-15 16:10:21.985080,2025-11-15 16:10:29.265323,0 days 00:00:07.280243,poisson,7,5,4,44,14,True,COMPLETE
133,238.0680496808317,2025-11-15 16:10:29.320146,2025-11-15 16:10:37.126903,0 days 00:00:07.806757,poisson,7,6,5,49,17,True,COMPLETE
134,214.1799845270636,2025-11-15 16:10:37.142727,2025-11-15 16:10:45.136967,0 days 00:00:07.994240,poisson,9,5,4,38,14,True,COMPLETE
135,211.19893415422212,2025-11-15 16:10:45.173725,2025-11-15 16:10:53.589223,0 days 00:00:08.415498,poisson,9,7,4,38,15,True,COMPLETE
136,218.00797809425922,2025-11-15 16:10:53.649779,2025-11-15 16:11:01.275199,0 days 00:00:07.625420,poisson,11,7,4,44,15,True,COMPLETE
137,243.29200408846432,2025-11-15 16:11:01.289078,2025-11-15 16:11:09.207933,0 days 00:00:07.918855,squared_error,11,7,4,44,15,True,COMPLETE
138,217.4093954465584,2025-11-15 16:11:09.223459,2025-11-15 16:11:17.758797,0 days 00:00:08.535338,poisson,11,7,5,38,19,True,COMPLETE
139,230.11289815437522,2025-11-15 16:11:17.830786,2025-11-15 16:12:51.797177,0 days 00:01:33.966391,poisson,9,9,6,38,996,True,COMPLETE
140,224.1979484834459,2025-11-15 16:12:51.868545,2025-11-15 16:12:59.535033,0 days 00:00:07.666488,poisson,11,7,5,44,19,True,COMPLETE
141,240.61242278377034,2025-11-15 16:12:59.617931,2025-11-15 16:13:06.951466,0 days 00:00:07.333535,poisson,10,8,4,38,17,True,COMPLETE
142,255.80502648208935,2025-11-15 16:13:06.993400,2025-11-15 16:13:14.315909,0 days 00:00:07.322509,poisson,10,6,4,57,16,True,COMPLETE
143,209.078494293831,2025-11-15 16:13:14.335406,2025-11-15 16:13:22.349025,0 days 00:00:08.013619,poisson,9,7,5,40,19,True,COMPLETE
144,219.36074186092068,2025-11-15 16:13:22.391220,2025-11-15 16:13:30.751888,0 days 00:00:08.360668,poisson,9,7,5,40,23,True,COMPLETE
145,217.36544547557247,2025-11-15 16:13:30.785947,2025-11-15 16:13:38.799389,0 days 00:00:08.013442,poisson,9,8,5,45,14,True,COMPLETE
146,206.23903685784012,2025-11-15 16:13:38.941320,2025-11-15 16:13:47.481911,0 days 00:00:08.540591,poisson,9,8,6,44,14,True,COMPLETE
147,222.59040937347282,2025-11-15 16:13:47.557779,2025-11-15 16:13:56.128420,0 days 00:00:08.570641,poisson,9,9,6,47,20,True,COMPLETE
148,224.26373800911455,2025-11-15 16:13:56.238173,2025-11-15 16:14:03.972551,0 days 00:00:07.734378,poisson,9,9,5,42,15,True,COMPLETE
149,249.99619350977315,2025-11-15 16:14:04.028853,2025-11-15 16:14:12.309176,0 days 00:00:08.280323,friedman_mse,11,8,7,37,19,True,COMPLETE
150,252.65839434966773,2025-11-15 16:14:12.440981,2025-11-15 16:14:20.230346,0 days 00:00:07.789365,poisson,10,8,5,42,14,True,COMPLETE
151,219.08494051481279,2025-11-15 16:14:20.266782,2025-11-15 16:14:28.058879,0 days 00:00:07.792097,poisson,9,6,4,45,14,True,COMPLETE
152,255.4814871071556,2025-11-15 16:14:28.094076,2025-11-15 16:14:35.363959,0 days 00:00:07.269883,poisson,8,10,6,52,16,True,COMPLETE
153,207.01431213570987,2025-11-15 16:14:35.446656,2025-11-15 16:14:43.317741,0 days 00:00:07.871085,poisson,9,7,4,39,14,True,COMPLETE
154,210.28163790849186,2025-11-15 16:14:43.382098,2025-11-15 16:14:51.916764,0 days 00:00:08.534666,poisson,9,7,5,35,18,True,COMPLETE
155,210.38981334139598,2025-11-15 16:14:51.945374,2025-11-15 16:15:00.098797,0 days 00:00:08.153423,poisson,9,8,6,33,18,True,COMPLETE
156,208.4849441833409,2025-11-15 16:15:00.176650,2025-11-15 16:15:08.962487,0 days 00:00:08.785837,poisson,9,9,7,34,17,True,COMPLETE
157,215.47211294548714,2025-11-15 16:15:08.974463,2025-11-15 16:15:17.355382,0 days 00:00:08.380919,poisson,8,9,7,33,24,True,COMPLETE
158,224.56101935195747,2025-11-15 16:15:17.406216,2025-11-15 16:15:28.760992,0 days 00:00:11.354776,poisson,10,8,6,35,62,True,COMPLETE
159,215.10879625296207,2025-11-15 16:15:28.820981,2025-11-15 16:15:37.010482,0 days 00:00:08.189501,poisson,9,6,6,32,17,True,COMPLETE
160,220.86494468046726,2025-11-15 16:15:37.111625,2025-11-15 16:15:47.677198,0 days 00:00:10.565573,poisson,10,18,7,36,21,True,COMPLETE
161,223.34736961851914,2025-11-15 16:15:47.750921,2025-11-15 16:15:56.893996,0 days 00:00:09.143075,poisson,9,15,5,33,18,True,COMPLETE
162,247.8293378938425,2025-11-15 16:15:56.906314,2025-11-15 16:16:04.394450,0 days 00:00:07.488136,poisson,8,6,6,32,17,True,COMPLETE
163,220.3501006112637,2025-11-15 16:16:04.411522,2025-11-15 16:16:11.970864,0 days 00:00:07.559342,poisson,9,6,6,31,16,True,COMPLETE
164,225.17529910248953,2025-11-15 16:16:12.045003,2025-11-15 16:16:20.092838,0 days 00:00:08.047835,poisson,8,7,8,40,18,True,COMPLETE
165,265.40722888637754,2025-11-15 16:16:20.105121,2025-11-15 16:16:28.073568,0 days 00:00:07.968447,poisson,10,10,7,35,13,True,COMPLETE
166,210.72407244804862,2025-11-15 16:16:28.203473,2025-11-15 16:16:37.236515,0 days 00:00:09.033042,poisson,9,7,4,39,21,True,COMPLETE
167,225.4198997338066,2025-11-15 16:16:37.313015,2025-11-15 16:16:51.433373,0 days 00:00:14.120358,absolute_error,7,8,4,39,25,True,COMPLETE
168,227.45081058705347,2025-11-15 16:16:51.521236,2025-11-15 16:17:00.178410,0 days 00:00:08.657174,poisson,8,9,3,34,22,True,COMPLETE
169,226.90136626524833,2025-11-15 16:17:00.229382,2025-11-15 16:17:07.407027,0 days 00:00:07.177645,squared_error,10,7,3,37,20,True,COMPLETE
170,219.6174863414261,2025-11-15 16:17:07.566236,2025-11-15 16:17:14.578069,0 days 00:00:07.011833,poisson,8,11,4,41,10,True,COMPLETE
171,223.52655109018468,2025-11-15 16:17:14.672895,2025-11-15 16:17:21.432178,0 days 00:00:06.759283,poisson,9,6,6,36,15,True,COMPLETE
172,202.5945943278794,2025-11-15 16:17:21.474224,2025-11-15 16:17:28.783587,0 days 00:00:07.309363,poisson,9,7,4,34,17,True,COMPLETE
173,228.20130767014925,2025-11-15 16:17:28.825063,2025-11-15 16:17:37.209771,0 days 00:00:08.384708,poisson,9,24,4,34,19,True,COMPLETE
174,224.5719579974735,2025-11-15 16:17:37.223339,2025-11-15 16:17:43.895255,0 days 00:00:06.671916,poisson,7,8,5,42,12,True,COMPLETE
175,226.27953459961972,2025-11-15 16:17:43.979470,2025-11-15 16:17:50.901517,0 days 00:00:06.922047,poisson,9,7,3,39,22,True,COMPLETE
