number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
0,244.94477700356606,2025-11-15 15:44:26.024095,2025-11-15 15:44:37.031085,0 days 00:00:11.006990,friedman_mse,7,24,2,19,40,False,COMPLETE
1,239.34645875759966,2025-11-15 15:44:37.048814,2025-11-15 15:45:00.974069,0 days 00:00:23.925255,squared_error,1,27,10,96,274,True,COMPLETE
2,237.13490267041175,2025-11-15 15:45:00.986292,2025-11-15 15:45:08.974427,0 days 00:00:07.988135,poisson,14,19,7,56,41,True,COMPLETE
3,270.6503454714267,2025-11-15 15:45:09.083421,2025-11-15 15:45:17.410871,0 days 00:00:08.327450,squared_error,24,9,4,41,55,True,COMPLETE
4,244.72233268801597,2025-11-15 15:45:17.500165,2025-11-15 15:46:57.155716,0 days 00:01:39.655551,absolute_error,3,26,15,72,297,True,COMPLETE
5,255.49574000814079,2025-11-15 15:46:57.176750,2025-11-15 15:47:05.222993,0 days 00:00:08.046243,poisson,21,23,12,14,32,True,COMPLETE
6,257.8785466456301,2025-11-15 15:47:05.320936,2025-11-15 15:47:13.354872,0 days 00:00:08.033936,friedman_mse,2,28,15,65,27,False,COMPLETE
7,252.05188122332765,2025-11-15 15:47:13.374353,2025-11-15 15:47:25.029980,0 days 00:00:11.655627,poisson,18,25,11,75,111,True,COMPLETE
8,239.78563890900764,2025-11-15 15:47:25.071253,2025-11-15 15:47:45.666566,0 days 00:00:20.595313,friedman_mse,10,2,4,17,369,False,COMPLETE
9,243.40108800349213,2025-11-15 15:47:45.678281,2025-11-15 15:48:04.565335,0 days 00:00:18.887054,poisson,12,21,19,85,227,False,COMPLETE
10,265.7370519077196,2025-11-15 15:48:04.581296,2025-11-15 15:48:13.437414,0 days 00:00:08.856118,absolute_error,27,15,7,36,10,True,COMPLETE
11,253.15032996474832,2025-11-15 15:48:13.641703,2025-11-15 15:49:15.573545,0 days 00:01:01.931842,squared_error,14,16,8,99,866,True,COMPLETE
12,270.73314393878366,2025-11-15 15:49:15.586604,2025-11-15 15:49:27.419250,0 days 00:00:11.832646,squared_error,6,17,8,51,118,True,COMPLETE
13,267.5210250101399,2025-11-15 15:49:27.466746,2025-11-15 15:49:34.664611,0 days 00:00:07.197865,poisson,30,19,13,27,13,True,COMPLETE
14,248.7624121541039,2025-11-15 15:49:34.676587,2025-11-15 15:51:08.207358,0 days 00:01:33.530771,squared_error,18,30,7,54,843,True,COMPLETE
